id;anio;provincia;provincia_id;departamento;departamento_id;vacas;vaquillonas;novillos;novillitos;terneros;terneras;toros;bueyes;toritos;total_cabezas
20086007;2008;Buenos Aires;6;Adolfo Alsina;6007;583;2722;204;289;810;1721;71;;;11647
20096007;2009;Buenos Aires;6;Adolfo Alsina;6007;6023;27;192;515;1001;16;64;;;12095
20106007;2010;Buenos Aires;6;Adolfo Alsina;6007;6368;2859;66;385;961;1807;62;;;12508
20116007;2011;Buenos Aires;6;Adolfo Alsina;6007;6332;3224;161;487;892;1816;59;;;12971
20126007;2012;Buenos Aires;6;Adolfo Alsina;6007;6503;313;180;529;843;1731;58;;;12974
20136007;2013;Buenos Aires;6;Adolfo Alsina;6007;6623;3142;321;532;1142;199;61;;;13811
20146007;2014;Buenos Aires;6;Adolfo Alsina;6007;6778;3268;284;654;1207;2065;58;;1;14315
20156007;2015;Buenos Aires;6;Adolfo Alsina;6007;7863;3977;341;552;1393;2111;66;;2;16305
20166007;2016;Buenos Aires;6;Adolfo Alsina;6007;8617;3536;343;616;1232;2499;74;;15;16932
20176007;2017;Buenos Aires;6;Adolfo Alsina;6007;7988;3803;294;357;1205;2338;90;;7;16082
20186007;2018;Buenos Aires;6;Adolfo Alsina;6007;818;3964;376;291;1281;2658;99;12;;16861
20196007;2019;Buenos Aires;6;Adolfo Alsina;6007;7329;3506;232;295;1418;2495;91;;10;15376
20086021;2008;Buenos Aires;6;Alberti;6021;1546;499;14;22;156;365;12;;;2614
20096021;2009;Buenos Aires;6;Alberti;6021;1443;426;28;50;209;456;11;;;2623
20106021;2010;Buenos Aires;6;Alberti;6021;1449;476;12;25;169;434;11;;;2576
20116021;2011;Buenos Aires;6;Alberti;6021;1549;380;17;15;142;402;7;;;2512
20126021;2012;Buenos Aires;6;Alberti;6021;1308;515;;40;107;490;8;;;2468
20136021;2013;Buenos Aires;6;Alberti;6021;1238;590;;45;185;351;10;;;2419
20146021;2014;Buenos Aires;6;Alberti;6021;1259;361;;9;230;471;11;;;2341
20156021;2015;Buenos Aires;6;Alberti;6021;1256;488;;;112;357;4;;4;2221
20166021;2016;Buenos Aires;6;Alberti;6021;1308;485;;16;92;523;9;;;2433
20176021;2017;Buenos Aires;6;Alberti;6021;1053;516;;3;78;319;5;;;1974
20186021;2018;Buenos Aires;6;Alberti;6021;1104;477;;;95;489;4;1;;217
20196021;2019;Buenos Aires;6;Alberti;6021;845;537;;;91;384;3;;;186
20086028;2008;Buenos Aires;6;Almirante Brown;6028;92;11;24;5;10;9;3;;;154
20096028;2009;Buenos Aires;6;Almirante Brown;6028;52;16;2;5;14;9;6;;;104
20106028;2010;Buenos Aires;6;Almirante Brown;6028;52;11;6;10;9;3;7;;;98
20116028;2011;Buenos Aires;6;Almirante Brown;6028;47;12;;5;11;6;6;;;87
20126028;2012;Buenos Aires;6;Almirante Brown;6028;45;8;;;22;17;5;;;97
20136028;2013;Buenos Aires;6;Almirante Brown;6028;46;17;;5;7;13;5;;;93
20146028;2014;Buenos Aires;6;Almirante Brown;6028;34;11;;;6;13;2;;;66
20156028;2015;Buenos Aires;6;Almirante Brown;6028;42;5;;;10;15;2;;1;75
20166028;2016;Buenos Aires;6;Almirante Brown;6028;15;5;;;5;5;2;;;32
20176028;2017;Buenos Aires;6;Almirante Brown;6028;18;7;1;;5;6;1;;;38
20186028;2018;Buenos Aires;6;Almirante Brown;6028;19;3;;;11;6;1;;;40
20196028;2019;Buenos Aires;6;Almirante Brown;6028;22;9;;4;4;4;1;;;44
20086277;2008;Buenos Aires;6;Florentino Ameghino;6277;8331;3139;1082;427;1524;1884;109;;;16496
20096277;2009;Buenos Aires;6;Florentino Ameghino;6277;7618;3258;1257;726;19;226;116;;;17135
20106277;2010;Buenos Aires;6;Florentino Ameghino;6277;6394;2505;282;479;1189;2374;102;;;13325
20116277;2011;Buenos Aires;6;Florentino Ameghino;6277;7746;2968;594;194;1033;2155;116;;;14806
20126277;2012;Buenos Aires;6;Florentino Ameghino;6277;7142;2839;492;261;1231;1921;92;;;13978
20136277;2013;Buenos Aires;6;Florentino Ameghino;6277;6964;2733;67;339;1334;2098;80;;7;13622
20146277;2014;Buenos Aires;6;Florentino Ameghino;6277;6936;2491;54;166;1203;2245;94;;;13189
20156277;2015;Buenos Aires;6;Florentino Ameghino;6277;7552;2584;476;256;1075;221;96;;;14249
20166277;2016;Buenos Aires;6;Florentino Ameghino;6277;7234;3203;340;540;1232;1896;107;;;14552
20176277;2017;Buenos Aires;6;Florentino Ameghino;6277;7609;281;574;438;1336;165;104;;;14521
20186277;2018;Buenos Aires;6;Florentino Ameghino;6277;7216;2298;372;487;1135;1992;98;3;;13601
20196277;2019;Buenos Aires;6;Florentino Ameghino;6277;6464;2187;513;410;1256;2175;93;;;13098
20086077;2008;Buenos Aires;6;Arrecifes;6077;181;50;;2;2;4;1;;;240
20096077;2009;Buenos Aires;6;Arrecifes;6077;438;92;;;27;83;8;;;648
20106077;2010;Buenos Aires;6;Arrecifes;6077;324;214;1;1;51;11;6;;;608
20116077;2011;Buenos Aires;6;Arrecifes;6077;332;97;;14;24;78;6;;;551
20126077;2012;Buenos Aires;6;Arrecifes;6077;337;62;17;14;29;133;8;;;600
20136077;2013;Buenos Aires;6;Arrecifes;6077;354;21;5;3;127;159;16;;;685
20146077;2014;Buenos Aires;6;Arrecifes;6077;536;82;;27;34;71;7;;;757
20156077;2015;Buenos Aires;6;Arrecifes;6077;607;321;;39;33;161;7;;;1168
20166077;2016;Buenos Aires;6;Arrecifes;6077;532;152;10;23;16;39;9;;;781
20176077;2017;Buenos Aires;6;Arrecifes;6077;362;107;4;7;9;76;11;;;576
20186077;2018;Buenos Aires;6;Arrecifes;6077;266;96;31;;23;101;5;3;;525
20196077;2019;Buenos Aires;6;Arrecifes;6077;175;9;1;11;28;63;7;;;294
20086042;2008;Buenos Aires;6;Ayacucho;6042;1139;378;9;15;210;359;20;;;213
20096042;2009;Buenos Aires;6;Ayacucho;6042;13;438;5;59;113;313;19;;;2247
20106042;2010;Buenos Aires;6;Ayacucho;6042;1375;389;2;34;200;383;18;;;2401
20116042;2011;Buenos Aires;6;Ayacucho;6042;1471;475;37;31;175;350;34;;;2573
20126042;2012;Buenos Aires;6;Ayacucho;6042;1486;435;;8;162;411;28;;;253
20136042;2013;Buenos Aires;6;Ayacucho;6042;1524;563;1;;160;385;23;;;2656
20146042;2014;Buenos Aires;6;Ayacucho;6042;734;263;;;8;203;6;;;1214
20156042;2015;Buenos Aires;6;Ayacucho;6042;1206;375;;5;77;315;16;;;1994
20166042;2016;Buenos Aires;6;Ayacucho;6042;1225;283;;;159;360;11;;;2038
20176042;2017;Buenos Aires;6;Ayacucho;6042;1476;247;;40;109;390;14;;;2276
20186042;2018;Buenos Aires;6;Ayacucho;6042;1342;189;;4;155;413;15;2;;212
20196042;2019;Buenos Aires;6;Ayacucho;6042;1597;158;;24;153;357;17;;;2306
20086049;2008;Buenos Aires;6;Azul;6049;4003;1498;347;347;770;1066;99;;;813
20096049;2009;Buenos Aires;6;Azul;6049;3666;762;82;141;397;687;27;;;5762
20106049;2010;Buenos Aires;6;Azul;6049;3094;690;8;114;400;754;18;;;5078
20116049;2011;Buenos Aires;6;Azul;6049;3315;967;20;99;508;943;19;;;5871
20126049;2012;Buenos Aires;6;Azul;6049;4739;1834;156;163;603;1137;22;;;8654
20136049;2013;Buenos Aires;6;Azul;6049;4678;1672;180;160;551;963;21;1;;8226
20146049;2014;Buenos Aires;6;Azul;6049;4976;1418;14;156;533;1257;18;;4;8376
20156049;2015;Buenos Aires;6;Azul;6049;5267;1776;61;153;621;1246;25;;;9149
20166049;2016;Buenos Aires;6;Azul;6049;5206;1659;2;161;657;132;29;;2;9036
20176049;2017;Buenos Aires;6;Azul;6049;5421;2055;5;71;770;1045;16;;9;9392
20186049;2018;Buenos Aires;6;Azul;6049;4899;1857;;109;892;179;28;3;;9578
20196049;2019;Buenos Aires;6;Azul;6049;4046;1538;1;84;736;1585;18;;3;8011
20086056;2008;Buenos Aires;6;Bahia Blanca;6056;144;35;33;13;37;60;10;;;332
20096056;2009;Buenos Aires;6;Bahia Blanca;6056;74;49;;13;26;43;4;;;209
20106056;2010;Buenos Aires;6;Bahia Blanca;6056;70;28;;10;12;13;3;;;136
20116056;2011;Buenos Aires;6;Bahia Blanca;6056;58;30;;10;28;31;1;;;158
20126056;2012;Buenos Aires;6;Bahia Blanca;6056;67;34;7;13;30;36;2;;;189
20136056;2013;Buenos Aires;6;Bahia Blanca;6056;64;44;;;24;12;3;;;147
20186056;2018;Buenos Aires;6;Bahia Blanca;6056;100;25;;5;30;25;2;;;187
20086063;2008;Buenos Aires;6;Balcarce;6063;4977;2162;318;64;521;1201;57;;;93
20096063;2009;Buenos Aires;6;Balcarce;6063;4598;2607;82;103;370;1074;49;;;8883
20106063;2010;Buenos Aires;6;Balcarce;6063;5;2188;86;104;556;882;47;;;8863
20116063;2011;Buenos Aires;6;Balcarce;6063;5688;2352;11;76;172;1247;31;;;9577
20126063;2012;Buenos Aires;6;Balcarce;6063;5549;1715;312;79;354;1028;19;;;9056
20136063;2013;Buenos Aires;6;Balcarce;6063;5471;1976;48;69;616;1335;25;;;954
20146063;2014;Buenos Aires;6;Balcarce;6063;5685;2331;109;243;790;139;48;;7;10603
20156063;2015;Buenos Aires;6;Balcarce;6063;5862;2085;121;236;814;1077;61;;1;10257
20166063;2016;Buenos Aires;6;Balcarce;6063;5509;1781;205;137;910;1291;33;;115;9981
20176063;2017;Buenos Aires;6;Balcarce;6063;5778;1897;44;215;636;1292;48;;1;9911
20186063;2018;Buenos Aires;6;Balcarce;6063;5511;188;9;64;532;1247;44;1;;9288
20196063;2019;Buenos Aires;6;Balcarce;6063;5524;1929;72;4;863;1636;34;;20;10082
20086070;2008;Buenos Aires;6;Baradero;6070;641;427;;;21;98;3;;;119
20096070;2009;Buenos Aires;6;Baradero;6070;609;347;;22;1;148;;;;1127
20106070;2010;Buenos Aires;6;Baradero;6070;852;429;;11;105;266;;;;1663
20116070;2011;Buenos Aires;6;Baradero;6070;1048;597;7;9;13;246;;;;192
20126070;2012;Buenos Aires;6;Baradero;6070;569;349;;;9;203;;;;113
20136070;2013;Buenos Aires;6;Baradero;6070;596;423;;;2;93;;;;1114
20146070;2014;Buenos Aires;6;Baradero;6070;489;466;;;8;139;;;;1102
20156070;2015;Buenos Aires;6;Baradero;6070;508;265;;;10;161;;;;944
20166070;2016;Buenos Aires;6;Baradero;6070;478;328;;;2;109;;;;917
20176070;2017;Buenos Aires;6;Baradero;6070;487;296;;;2;181;;;;966
20186070;2018;Buenos Aires;6;Baradero;6070;455;338;;;2;121;;;;916
20196070;2019;Buenos Aires;6;Baradero;6070;359;239;;;2;93;;;;693
20086084;2008;Buenos Aires;6;Benito Juarez;6084;737;278;;97;131;75;4;;;1322
20096084;2009;Buenos Aires;6;Benito Juarez;6084;2533;1072;69;286;317;550;17;;;4844
20106084;2010;Buenos Aires;6;Benito Juarez;6084;2668;1692;235;80;811;675;9;;;617
20116084;2011;Buenos Aires;6;Benito Juarez;6084;2512;769;198;101;331;543;16;;;447
20126084;2012;Buenos Aires;6;Benito Juarez;6084;296;767;113;339;433;906;19;;;5537
20136084;2013;Buenos Aires;6;Benito Juarez;6084;2657;811;73;49;619;662;20;;;4891
20146084;2014;Buenos Aires;6;Benito Juarez;6084;2788;893;103;174;385;709;21;;;5073
20156084;2015;Buenos Aires;6;Benito Juarez;6084;3095;1;217;72;329;889;17;;;5619
20166084;2016;Buenos Aires;6;Benito Juarez;6084;2949;1241;93;41;516;870;12;;;5722
20176084;2017;Buenos Aires;6;Benito Juarez;6084;3259;728;22;174;255;983;13;;5;5439
20186084;2018;Buenos Aires;6;Benito Juarez;6084;2994;1136;32;60;542;815;14;2;;5595
20196084;2019;Buenos Aires;6;Benito Juarez;6084;265;1037;;60;227;941;11;;;4926
20086091;2008;Buenos Aires;6;Berazategui;6091;6;1;;;2;;;;;9
20096091;2009;Buenos Aires;6;Berazategui;6091;6;1;;;2;;;;;9
20096098;2009;Buenos Aires;6;Berisso;6098;10;3;;;2;3;1;;;19
20106098;2010;Buenos Aires;6;Berisso;6098;13;3;;5;2;2;1;;;26
20116098;2011;Buenos Aires;6;Berisso;6098;6;5;;;5;5;1;;;22
20126098;2012;Buenos Aires;6;Berisso;6098;10;6;;;4;4;1;;;25
20136098;2013;Buenos Aires;6;Berisso;6098;7;6;;;4;3;2;;;22
20146098;2014;Buenos Aires;6;Berisso;6098;10;6;;8;3;3;1;;;31
