id_eq;anio;provincia;provincia_id;departamento;departamento_id;padrillos;caballos;yeguas;potrillos_potrillas;mulas;burros_asnos;total_cabezas_eq
20086007;2008;Buenos Aires;6;Adolfo Alsina;6007;153;1838;1453;218;;14;3676
20096007;2009;Buenos Aires;6;Adolfo Alsina;6007;127;1608;1457;190;;;3382
20106007;2010;Buenos Aires;6;Adolfo Alsina;6007;141;1699;1704;240;;;3784
20116007;2011;Buenos Aires;6;Adolfo Alsina;6007;144;1703;1708;341;;;3896
20126007;2012;Buenos Aires;6;Adolfo Alsina;6007;127;1742;1812;434;60;;4175
20136007;2013;Buenos Aires;6;Adolfo Alsina;6007;231;1670;1753;570;66;12;4302
20146007;2014;Buenos Aires;6;Adolfo Alsina;6007;279;1831;1915;714;66;12;4817
20156007;2015;Buenos Aires;6;Adolfo Alsina;6007;232;1888;1989;767;66;12;4954
20166007;2016;Buenos Aires;6;Adolfo Alsina;6007;223;1823;1978;860;66;12;4962
20176007;2017;Buenos Aires;6;Adolfo Alsina;6007;233;1753;1934;954;66;26;4966
20186007;2018;Buenos Aires;6;Adolfo Alsina;6007;265;1750;2067;884;66;30;5062
20196007;2019;Buenos Aires;6;Adolfo Alsina;6007;287;1338;1989;923;6;32;4575
20086021;2008;Buenos Aires;6;Alberti;6021;19;583;528;97;;12;1239
20096021;2009;Buenos Aires;6;Alberti;6021;25;612;527;154;;;1318
20106021;2010;Buenos Aires;6;Alberti;6021;23;582;529;138;;;1272
20116021;2011;Buenos Aires;6;Alberti;6021;32;716;606;147;;;1501
20126021;2012;Buenos Aires;6;Alberti;6021;35;604;623;323;;12;1597
20136021;2013;Buenos Aires;6;Alberti;6021;28;689;538;345;;16;1616
20146021;2014;Buenos Aires;6;Alberti;6021;53;659;675;386;;14;1787
20156021;2015;Buenos Aires;6;Alberti;6021;46;654;634;320;;15;1669
20166021;2016;Buenos Aires;6;Alberti;6021;43;663;629;348;;12;1695
20176021;2017;Buenos Aires;6;Alberti;6021;48;662;639;398;;24;1771
20186021;2018;Buenos Aires;6;Alberti;6021;60;648;620;337;9;28;1702
20196021;2019;Buenos Aires;6;Alberti;6021;64;686;662;366;9;28;1815
20086028;2008;Buenos Aires;6;Almirante Brown;6028;6;217;43;15;;;281
20096028;2009;Buenos Aires;6;Almirante Brown;6028;10;272;53;20;;;355
20106028;2010;Buenos Aires;6;Almirante Brown;6028;7;198;51;9;;;265
20116028;2011;Buenos Aires;6;Almirante Brown;6028;7;205;59;20;;;291
20126028;2012;Buenos Aires;6;Almirante Brown;6028;7;208;61;21;;;297
20136028;2013;Buenos Aires;6;Almirante Brown;6028;24;265;106;49;;;444
20146028;2014;Buenos Aires;6;Almirante Brown;6028;38;324;103;41;;;506
20156028;2015;Buenos Aires;6;Almirante Brown;6028;51;411;136;45;;;643
20166028;2016;Buenos Aires;6;Almirante Brown;6028;60;470;165;55;;;750
20176028;2017;Buenos Aires;6;Almirante Brown;6028;68;546;182;55;;;851
20186028;2018;Buenos Aires;6;Almirante Brown;6028;73;581;204;61;;1;920
20196028;2019;Buenos Aires;6;Almirante Brown;6028;85;653;244;68;;1;1051
20086277;2008;Buenos Aires;6;Florentino Ameghino;6277;23;874;797;27;;;1721
20096277;2009;Buenos Aires;6;Florentino Ameghino;6277;12;863;818;46;;;1739
20106277;2010;Buenos Aires;6;Florentino Ameghino;6277;8;1043;955;23;;;2029
20116277;2011;Buenos Aires;6;Florentino Ameghino;6277;9;1073;1080;46;;;2208
20126277;2012;Buenos Aires;6;Florentino Ameghino;6277;8;1140;1122;42;;;2312
20136277;2013;Buenos Aires;6;Florentino Ameghino;6277;9;1129;1210;146;;;2494
20146277;2014;Buenos Aires;6;Florentino Ameghino;6277;9;1200;1317;89;;;2615
20156277;2015;Buenos Aires;6;Florentino Ameghino;6277;12;1193;1259;122;;1;2587
20166277;2016;Buenos Aires;6;Florentino Ameghino;6277;17;1140;1273;122;;1;2553
20176277;2017;Buenos Aires;6;Florentino Ameghino;6277;17;1218;1296;146;;1;2678
20186277;2018;Buenos Aires;6;Florentino Ameghino;6277;18;1266;1311;123;;1;2719
20196277;2019;Buenos Aires;6;Florentino Ameghino;6277;20;1258;1396;120;;1;2795
20086077;2008;Buenos Aires;6;Arrecifes;6077;55;892;927;270;4;;2148
20096077;2009;Buenos Aires;6;Arrecifes;6077;62;947;1160;443;3;;2615
20106077;2010;Buenos Aires;6;Arrecifes;6077;74;856;1003;645;1;1;2580
20116077;2011;Buenos Aires;6;Arrecifes;6077;50;543;550;366;;5;1514
20126077;2012;Buenos Aires;6;Arrecifes;6077;62;626;624;415;;15;1742
20136077;2013;Buenos Aires;6;Arrecifes;6077;59;758;1116;1001;;12;2946
20146077;2014;Buenos Aires;6;Arrecifes;6077;64;806;1226;1039;;12;3147
20156077;2015;Buenos Aires;6;Arrecifes;6077;61;856;1144;1043;;15;3119
20166077;2016;Buenos Aires;6;Arrecifes;6077;64;952;1206;1065;;20;3307
20176077;2017;Buenos Aires;6;Arrecifes;6077;69;984;1241;1133;;20;3447
20186077;2018;Buenos Aires;6;Arrecifes;6077;71;898;1194;1084;;21;3268
20196077;2019;Buenos Aires;6;Arrecifes;6077;72;917;1177;1018;;30;3214
20086035;2008;Buenos Aires;6;Avellaneda;6035;;93;10;1;;;104
