id_ov;anio;provincia;provincia_id;departamento;departamento_id;carneros;ovejas;borregos;capones;corderos_corderas;total_cabezas_ov
20086007;2008;Buenos Aires;6;Adolfo Alsina;6007;696;13238;868;195;1460;16457
20096007;2009;Buenos Aires;6;Adolfo Alsina;6007;721;11593;981;175;1615;15085
20106007;2010;Buenos Aires;6;Adolfo Alsina;6007;619;11016;860;236;1045;13776
20116007;2011;Buenos Aires;6;Adolfo Alsina;6007;670;10633;849;282;1671;14105
20126007;2012;Buenos Aires;6;Adolfo Alsina;6007;871;11617;1182;296;2019;15985
20136007;2013;Buenos Aires;6;Adolfo Alsina;6007;836;11951;1752;371;2858;17768
20146007;2014;Buenos Aires;6;Adolfo Alsina;6007;856;12504;1537;351;2941;18189
20156007;2015;Buenos Aires;6;Adolfo Alsina;6007;814;12268;1635;351;3026;18094
20166007;2016;Buenos Aires;6;Adolfo Alsina;6007;759;11743;1746;306;3512;18066
20176007;2017;Buenos Aires;6;Adolfo Alsina;6007;739;11733;1782;306;3504;18064
20186007;2018;Buenos Aires;6;Adolfo Alsina;6007;778;11907;1832;311;3548;18376
20196007;2019;Buenos Aires;6;Adolfo Alsina;6007;655;10845;1660;306;3166;16632
20086021;2008;Buenos Aires;6;Alberti;6021;126;936;;3;69;1134
20096021;2009;Buenos Aires;6;Alberti;6021;113;1140;;9;21;1283
20106021;2010;Buenos Aires;6;Alberti;6021;118;1050;4;;124;1296
20116021;2011;Buenos Aires;6;Alberti;6021;118;1118;5;51;451;1743
20126021;2012;Buenos Aires;6;Alberti;6021;115;1212;1;51;412;1791
20136021;2013;Buenos Aires;6;Alberti;6021;127;1316;1;42;498;1984
20146021;2014;Buenos Aires;6;Alberti;6021;137;1223;1;51;514;1926
20156021;2015;Buenos Aires;6;Alberti;6021;135;1128;1;51;540;1855
20166021;2016;Buenos Aires;6;Alberti;6021;124;1189;1;51;513;1878
20176021;2017;Buenos Aires;6;Alberti;6021;132;1406;1;51;547;2137
20186021;2018;Buenos Aires;6;Alberti;6021;140;1473;1;51;621;2286
20196021;2019;Buenos Aires;6;Alberti;6021;139;1393;1;51;666;2250
20086028;2008;Buenos Aires;6;Almirante Brown;6028;14;325;;;;339
20096028;2009;Buenos Aires;6;Almirante Brown;6028;14;275;;;;289
20106028;2010;Buenos Aires;6;Almirante Brown;6028;17;272;;;;289
20116028;2011;Buenos Aires;6;Almirante Brown;6028;13;172;;;;185
20126028;2012;Buenos Aires;6;Almirante Brown;6028;9;188;;;;197
20136028;2013;Buenos Aires;6;Almirante Brown;6028;9;141;4;;;154
20146028;2014;Buenos Aires;6;Almirante Brown;6028;7;149;4;;;160
20156028;2015;Buenos Aires;6;Almirante Brown;6028;9;135;4;;;148
20166028;2016;Buenos Aires;6;Almirante Brown;6028;8;145;4;;130;287
20176028;2017;Buenos Aires;6;Almirante Brown;6028;7;136;4;;130;277
20186028;2018;Buenos Aires;6;Almirante Brown;6028;9;227;23;;130;389
20196028;2019;Buenos Aires;6;Almirante Brown;6028;9;224;28;;136;397
20086277;2008;Buenos Aires;6;Florentino Ameghino;6277;110;1221;94;33;100;1558
20096277;2009;Buenos Aires;6;Florentino Ameghino;6277;90;1058;118;33;72;1371
20106277;2010;Buenos Aires;6;Florentino Ameghino;6277;155;1433;82;15;41;1726
20116277;2011;Buenos Aires;6;Florentino Ameghino;6277;152;1393;58;15;77;1695
20126277;2012;Buenos Aires;6;Florentino Ameghino;6277;157;1685;58;15;87;2002
20136277;2013;Buenos Aires;6;Florentino Ameghino;6277;178;1960;52;15;91;2296
20146277;2014;Buenos Aires;6;Florentino Ameghino;6277;180;2042;52;15;91;2380
20156277;2015;Buenos Aires;6;Florentino Ameghino;6277;189;2065;77;15;93;2439
20166277;2016;Buenos Aires;6;Florentino Ameghino;6277;189;2188;76;15;93;2561
20176277;2017;Buenos Aires;6;Florentino Ameghino;6277;210;2279;79;15;93;2676
20186277;2018;Buenos Aires;6;Florentino Ameghino;6277;246;2258;79;15;95;2693
20196277;2019;Buenos Aires;6;Florentino Ameghino;6277;174;2154;79;15;96;2518
20086077;2008;Buenos Aires;6;Arrecifes;6077;114;1312;135;12;446;2019
20096077;2009;Buenos Aires;6;Arrecifes;6077;129;1425;154;50;336;2094
20106077;2010;Buenos Aires;6;Arrecifes;6077;135;1466;107;9;357;2074
20116077;2011;Buenos Aires;6;Arrecifes;6077;91;948;68;;323;1430
20126077;2012;Buenos Aires;6;Arrecifes;6077;118;1310;171;;469;2068
20136077;2013;Buenos Aires;6;Arrecifes;6077;160;1932;300;159;647;3198
20146077;2014;Buenos Aires;6;Arrecifes;6077;154;2019;261;168;861;3463
20156077;2015;Buenos Aires;6;Arrecifes;6077;166;2102;296;170;877;3611
20166077;2016;Buenos Aires;6;Arrecifes;6077;161;2124;335;176;791;3587
20176077;2017;Buenos Aires;6;Arrecifes;6077;165;2360;366;165;945;4001
20186077;2018;Buenos Aires;6;Arrecifes;6077;213;2707;614;185;983;4702
20196077;2019;Buenos Aires;6;Arrecifes;6077;218;2948;464;184;1273;5087
20086042;2008;Buenos Aires;6;Ayacucho;6042;9615;58613;10743;9582;17351;105904
20096042;2009;Buenos Aires;6;Ayacucho;6042;11308;54174;6853;6913;14349;93597
20106042;2010;Buenos Aires;6;Ayacucho;6042;9848;53739;4656;3113;12971;84327
20116042;2011;Buenos Aires;6;Ayacucho;6042;10173;48641;4115;1893;10655;75477
20126042;2012;Buenos Aires;6;Ayacucho;6042;9641;53431;4495;8313;16803;92683
20136042;2013;Buenos Aires;6;Ayacucho;6042;8545;56558;9327;7911;19805;102146
20146042;2014;Buenos Aires;6;Ayacucho;6042;7092;55183;9971;7297;19504;99047
20156042;2015;Buenos Aires;6;Ayacucho;6042;7525;57152;10076;6639;19406;100798
20166042;2016;Buenos Aires;6;Ayacucho;6042;6630;57880;10864;6839;20281;102494
20176042;2017;Buenos Aires;6;Ayacucho;6042;6672;59443;10233;6631;19350;102329
20186042;2018;Buenos Aires;6;Ayacucho;6042;6739;61672;9786;6264;19188;103649
20196042;2019;Buenos Aires;6;Ayacucho;6042;6716;63700;10873;6788;21399;109476
20086049;2008;Buenos Aires;6;Azul;6049;1759;51019;2310;1011;5309;61408
20096049;2009;Buenos Aires;6;Azul;6049;1574;50997;1810;1128;4856;60365
20106049;2010;Buenos Aires;6;Azul;6049;1535;44666;775;723;4796;52495
20116049;2011;Buenos Aires;6;Azul;6049;1589;43508;1148;903;5785;52933
20126049;2012;Buenos Aires;6;Azul;6049;1756;44460;1733;887;7441;56277
20136049;2013;Buenos Aires;6;Azul;6049;1454;42554;2244;893;8216;55361
20146049;2014;Buenos Aires;6;Azul;6049;1469;42784;2431;1103;8371;56158
20156049;2015;Buenos Aires;6;Azul;6049;1618;42938;2453;1116;9065;57190
20166049;2016;Buenos Aires;6;Azul;6049;1594;42241;2503;1136;9091;56565
20176049;2017;Buenos Aires;6;Azul;6049;1715;42530;2712;1151;10607;58715
