id_porc;anio;provinicia;provinicia_id;departamento;departamento_id;padrillos;cerda;lechon;capones;cachorro;machos_enteros_inmunocastrados;cachorra;total_cabezas_porc
20086007;2008;Buenos Aires;6;Adolfo Alsina;6007;302;1919;1390;1474;1174;;;6259
20096007;2009;Buenos Aires;6;Adolfo Alsina;6007;291;1624;1842;1047;1134;;;5938
20106007;2010;Buenos Aires;6;Adolfo Alsina;6007;269;1857;1827;1118;994;;;6065
20116007;2011;Buenos Aires;6;Adolfo Alsina;6007;289;2099;2414;1132;951;;;6885
20126007;2012;Buenos Aires;6;Adolfo Alsina;6007;383;2611;3603;1770;1637;54;;10058
20136007;2013;Buenos Aires;6;Adolfo Alsina;6007;365;2940;4769;1636;2803;3;;12516
20146007;2014;Buenos Aires;6;Adolfo Alsina;6007;384;3222;5649;1423;2718;3;64;13463
20156007;2015;Buenos Aires;6;Adolfo Alsina;6007;387;3034;5380;2037;1975;3;42;12858
20166007;2016;Buenos Aires;6;Adolfo Alsina;6007;379;2702;5261;3368;3725;3;57;15495
20176007;2017;Buenos Aires;6;Adolfo Alsina;6007;365;2800;5660;2814;3309;3;58;15009
20186007;2018;Buenos Aires;6;Adolfo Alsina;6007;356;2625;4979;2596;3391;3;150;14100
20196007;2019;Buenos Aires;6;Adolfo Alsina;6007;327;2494;3183;1978;1797;3;162;9944
20086021;2008;Buenos Aires;6;Alberti;6021;440;2343;3412;2793;2073;;;11061
20096021;2009;Buenos Aires;6;Alberti;6021;527;2640;4662;4087;1883;;;13799
20106021;2010;Buenos Aires;6;Alberti;6021;355;2242;3680;1936;1268;;;9481
20116021;2011;Buenos Aires;6;Alberti;6021;276;2574;4096;2397;1351;;;10694
20126021;2012;Buenos Aires;6;Alberti;6021;299;3981;6990;3220;6494;;;20984
20136021;2013;Buenos Aires;6;Alberti;6021;302;4146;7705;2555;4073;2644;;21425
20146021;2014;Buenos Aires;6;Alberti;6021;339;3814;7369;4422;6069;4398;408;26819
20156021;2015;Buenos Aires;6;Alberti;6021;345;3583;5996;4916;6799;3102;467;25208
20166021;2016;Buenos Aires;6;Alberti;6021;332;4288;7245;5611;8300;2761;680;29217
20176021;2017;Buenos Aires;6;Alberti;6021;349;4282;7321;6776;7430;2963;1184;30305
20186021;2018;Buenos Aires;6;Alberti;6021;347;5439;8319;12517;12281;7855;956;47714
20196021;2019;Buenos Aires;6;Alberti;6021;337;5390;7786;9922;14383;7391;1289;46498
20086028;2008;Buenos Aires;6;Almirante Brown;6028;12;202;35;;;;;249
20096028;2009;Buenos Aires;6;Almirante Brown;6028;9;150;35;;;;;194
20106028;2010;Buenos Aires;6;Almirante Brown;6028;12;182;;;;;;194
20116028;2011;Buenos Aires;6;Almirante Brown;6028;12;147;;;;;;159
20126028;2012;Buenos Aires;6;Almirante Brown;6028;12;146;;15;30;;;203
20136028;2013;Buenos Aires;6;Almirante Brown;6028;15;183;;13;93;;;304
20146028;2014;Buenos Aires;6;Almirante Brown;6028;15;167;290;152;36;;37;697
20156028;2015;Buenos Aires;6;Almirante Brown;6028;15;146;70;75;36;;38;380
20166028;2016;Buenos Aires;6;Almirante Brown;6028;15;112;700;75;36;;38;976
20176028;2017;Buenos Aires;6;Almirante Brown;6028;14;124;490;75;36;;38;777
20186028;2018;Buenos Aires;6;Almirante Brown;6028;17;163;594;75;37;;60;946
20196028;2019;Buenos Aires;6;Almirante Brown;6028;16;165;595;75;37;;64;952
20086277;2008;Buenos Aires;6;Florentino Ameghino;6277;37;371;125;685;137;;;1355
20096277;2009;Buenos Aires;6;Florentino Ameghino;6277;28;271;96;382;38;;;815
20106277;2010;Buenos Aires;6;Florentino Ameghino;6277;53;283;234;313;110;;;993
20116277;2011;Buenos Aires;6;Florentino Ameghino;6277;56;301;284;313;110;;;1064
20126277;2012;Buenos Aires;6;Florentino Ameghino;6277;91;450;440;389;214;;;1584
20136277;2013;Buenos Aires;6;Florentino Ameghino;6277;101;597;618;503;499;;;2318
20146277;2014;Buenos Aires;6;Florentino Ameghino;6277;113;680;837;505;279;;162;2576
20156277;2015;Buenos Aires;6;Florentino Ameghino;6277;116;700;861;474;270;;217;2638
20166277;2016;Buenos Aires;6;Florentino Ameghino;6277;127;699;1099;591;365;;382;3263
20176277;2017;Buenos Aires;6;Florentino Ameghino;6277;136;691;1099;537;318;;255;3036
20186277;2018;Buenos Aires;6;Florentino Ameghino;6277;141;662;741;637;217;;59;2457
20196277;2019;Buenos Aires;6;Florentino Ameghino;6277;148;640;685;582;466;;87;2608
20086077;2008;Buenos Aires;6;Arrecifes;6077;202;2425;5695;2763;2727;;;13812
20096077;2009;Buenos Aires;6;Arrecifes;6077;186;2450;6183;2487;3690;;;14996
20106077;2010;Buenos Aires;6;Arrecifes;6077;192;2445;4512;2070;2863;;;12082
20116077;2011;Buenos Aires;6;Arrecifes;6077;138;2268;3673;1829;3703;;;11611
20126077;2012;Buenos Aires;6;Arrecifes;6077;156;2678;5207;2324;3778;;;14143
